[2025-04-10 15:49:32.769] [PSS] [debug] [27936|15720]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x1fee40a3870
[2025-04-10 15:49:32.769] [PSS] [info] [27936|15720]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1fee40a3870
[2025-04-10 15:49:34.822] [PSS] [info] [27936|24132]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x1ffa0631e50
[2025-04-10 15:49:34.822] [PSS] [error] [27936|24132]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x1ffa0631e50
[2025-04-10 15:49:34.822] [PSS] [error] [27936|15720]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x1fec31626f0
[2025-04-10 15:49:34.822] [PSS] [error] [27936|24132]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x1fee40a3870
[2025-04-12 23:31:42.866] [PSS] [info] ***********  Log Begin **********
[2025-04-12 23:31:42.866] [PSS] [info] process id= 19276
[2025-04-12 23:31:42.866] [PSS] [debug] [19276|17320]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x19433cd9ac0, this= 0x194799dbc50
[2025-04-12 23:31:42.866] [PSS] [error] [19276|17320]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x194799dbc50
[2025-04-12 23:31:42.866] [PSS] [info] [19276|17320]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= MQXfLzEsmClGhznV, this= 0x194799dbc50
[2025-04-12 23:31:42.866] [PSS] [info] [19276|17320]streaming_client_impl.cpp:25 ConnectToService: client_id= MQXfLzEsmClGhznV, name= 3D Engine, desp= StreamingSceneRender, this= 0x19479c21ed0
[2025-04-12 23:31:42.866] [PSS] [debug] [19276|24544]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x19479c21ed0
[2025-04-12 23:31:42.866] [PSS] [debug] [19276|24544]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x194a3f60d50
[2025-04-12 23:31:42.866] [PSS] [info] [19276|24544]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x194a3f60d50
[2025-04-12 23:31:44.913] [PSS] [info] [19276|10408]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x19479c21ed0
[2025-04-12 23:31:44.913] [PSS] [error] [19276|10408]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x19479c21ed0
[2025-04-12 23:31:44.913] [PSS] [error] [19276|24544]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x194799dbc50
[2025-04-12 23:31:44.913] [PSS] [error] [19276|10408]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x194a3f60d50
[2025-04-13 00:17:13.821] [PSS] [debug] [19276|17320]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x194563fa370, this= 0x194aadbd4a0
[2025-04-13 00:17:13.823] [PSS] [error] [19276|17320]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x194aadbd4a0
[2025-04-13 00:17:13.823] [PSS] [info] [19276|17320]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= 8KHAXDFI3U5SxYEu, this= 0x194aadbd4a0
[2025-04-13 00:17:13.823] [PSS] [info] [19276|17320]streaming_client_impl.cpp:25 ConnectToService: client_id= 8KHAXDFI3U5SxYEu, name= 3D Engine, desp= StreamingSceneRender, this= 0x19456b1b6d0
[2025-04-13 00:17:13.823] [PSS] [debug] [19276|6708]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x19456b1b6d0
[2025-04-13 00:17:13.823] [PSS] [debug] [19276|6708]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x194a3f5eb30
[2025-04-13 00:17:13.823] [PSS] [info] [19276|6708]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x194a3f5eb30
[2025-04-13 00:17:15.854] [PSS] [info] [19276|5868]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x19456b1b6d0
[2025-04-13 00:17:15.854] [PSS] [error] [19276|5868]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x19456b1b6d0
[2025-04-13 00:17:15.854] [PSS] [error] [19276|5868]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x194a3f5eb30
[2025-04-13 00:17:15.854] [PSS] [error] [19276|6708]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x194aadbd4a0
[2025-04-13 09:26:53.658] [PSS] [info] ***********  Log Begin **********
[2025-04-13 09:26:53.658] [PSS] [info] process id= 18992
[2025-04-13 09:26:53.658] [PSS] [debug] [18992|20548]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x222ed13e290, this= 0x223a86e4910
[2025-04-13 09:26:53.659] [PSS] [error] [18992|20548]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x223a86e4910
[2025-04-13 09:26:53.659] [PSS] [info] [18992|20548]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= t89OnkwE3yKpvIhM, this= 0x223a86e4910
[2025-04-13 09:26:53.659] [PSS] [info] [18992|20548]streaming_client_impl.cpp:25 ConnectToService: client_id= t89OnkwE3yKpvIhM, name= 3D Engine, desp= StreamingSceneRender, this= 0x2231cd890e0
[2025-04-13 09:26:53.659] [PSS] [debug] [18992|7100]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x2231cd890e0
[2025-04-13 09:26:53.659] [PSS] [debug] [18992|7100]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x222cba4a470
[2025-04-13 09:26:53.659] [PSS] [info] [18992|7100]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x222cba4a470
[2025-04-13 09:26:55.684] [PSS] [info] [18992|8132]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x2231cd890e0
[2025-04-13 09:26:55.684] [PSS] [error] [18992|8132]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x2231cd890e0
[2025-04-13 09:26:55.684] [PSS] [error] [18992|7100]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x223a86e4910
[2025-04-13 09:26:55.684] [PSS] [error] [18992|8132]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x222cba4a470
[2025-04-13 09:38:52.949] [PSS] [debug] [18992|20548]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x223a5cfe240, this= 0x223a86e6d20
[2025-04-13 09:38:52.950] [PSS] [error] [18992|20548]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x223a86e6d20
[2025-04-13 09:38:52.950] [PSS] [info] [18992|20548]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= 3ceblFMl8WSuOcSU, this= 0x223a86e6d20
[2025-04-13 09:38:52.950] [PSS] [info] [18992|20548]streaming_client_impl.cpp:25 ConnectToService: client_id= 3ceblFMl8WSuOcSU, name= 3D Engine, desp= StreamingSceneRender, this= 0x223cad6e7d0
[2025-04-13 09:38:52.950] [PSS] [debug] [18992|24320]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x223cad6e7d0
[2025-04-13 09:38:52.950] [PSS] [debug] [18992|24320]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x222cba4a710
[2025-04-13 09:38:52.950] [PSS] [info] [18992|24320]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x222cba4a710
[2025-04-13 09:38:54.990] [PSS] [info] [18992|29732]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x223cad6e7d0
